Rank,Gene,Mode,Cosine shift ALS (×10⁻⁴),Cosine shift PN (×10⁻⁴),Selectivity,kNN dist to healthy,Overall rank
1,TBK1,knockup,0.56,0.45,1.24,0.043932,12.7
2,TBK1,knockdown,1.0,0.87,1.15,0.04398,14.7
3,C9orf72,knockup,0.77,0.67,1.15,0.043993,17.3
4,VCP,knockup,0.79,0.64,1.23,0.044078,13.0
5,NEK1,knockup,0.48,0.4,1.2,0.044083,17.0
6,ANG,knockdown,1.31,1.16,1.13,0.044084,14.0
7,ANG,knockup,1.31,1.16,1.13,0.044084,14.0
8,C9orf72,knockdown,1.11,0.97,1.14,0.044092,15.8
9,VCP,knockdown,1.03,0.86,1.2,0.044143,14.7
10,UBQLN2,knockup,1.06,0.85,1.25,0.044195,11.7
11,SETX,knockup,0.53,0.4,1.32,0.044203,14.3
12,TARDBP,knockup,0.85,0.67,1.27,0.044232,13.7
13,FUS,knockup,0.81,0.63,1.29,0.044239,13.7
14,HNRNPA2B1,knockup,1.02,0.96,1.06,0.044263,20.3
15,OPTN,knockup,0.95,0.78,1.22,0.044283,15.7
16,NEK1,knockdown,0.72,0.54,1.33,0.0443,15.3
17,UBQLN2,knockdown,1.16,0.96,1.21,0.0443,13.7
18,SOD1,knockup,0.9,0.75,1.2,0.044325,18.7
19,OPTN,knockdown,1.12,0.93,1.2,0.044325,15.0
20,TARDBP,knockdown,1.31,1.11,1.18,0.044351,16.0
21,SOD1,knockdown,1.08,0.91,1.19,0.044367,18.3
22,HNRNPA1,knockdown,1.44,1.19,1.21,0.044375,12.7
23,HNRNPA1,knockup,1.43,1.24,1.15,0.044392,16.3
24,SQSTM1,knockup,1.11,0.89,1.25,0.044414,15.2
25,SQSTM1,knockdown,1.34,1.14,1.18,0.044441,17.3
26,PFN1,knockdown,1.63,1.61,1.01,0.044465,19.0
27,PFN1,knockup,1.58,1.53,1.03,0.044471,19.3
28,SETX,knockdown,1.22,0.95,1.28,0.044515,14.7
29,FUS,knockdown,1.57,1.37,1.15,0.044586,18.7
30,HNRNPA2B1,knockdown,1.42,0.92,1.54,0.044672,12.3
